user@workspacensfs5he8tzlwhgjl:~/ai/TrafficPrediction$ python traffic_prediction.py 
Epoch: 0024, Loss: 0.0809, mae: 0.0646, rmse: 0.0897, mape: 0.1319, Time: 0.05 mins
Epoch: 0025, Loss: 0.0811, mae: 0.0647, rmse: 0.0899, mape: 0.1324, Time: 0.05 mins
Epoch: 0026, Loss: 0.0808, mae: 0.0646, rmse: 0.0897, mape: 0.1318, Time: 0.05 mins
Epoch: 0027, Loss: 0.0807, mae: 0.0645, rmse: 0.0896, mape: 0.1317, Time: 0.06 mins
Epoch: 0028, Loss: 0.0812, mae: 0.0648, rmse: 0.0899, mape: 0.1321, Time: 0.06 mins
Epoch: 0029, Loss: 0.0810, mae: 0.0647, rmse: 0.0898, mape: 0.1320, Time: 0.06 mins
Epoch: 0030, Loss: 0.0811, mae: 0.0647, rmse: 0.0899, mape: 0.1321, Time: 0.05 mins
Test Loss: 0.0801, mae: 0.0644, rmse: 0.0895, mape: 0.1238
Epoch: 0001, Loss: 0.2748, mae: 0.0934, rmse: 0.1221, mape: 1.3252, Time: 9.74 mins
Epoch: 0002, Loss: 0.0810, mae: 0.0648, rmse: 0.0898, mape: 0.1323, Time: 9.53 mins
Epoch: 0003, Loss: 0.0805, mae: 0.0645, rmse: 0.0895, mape: 0.1312, Time: 9.66 mins
Epoch: 0004, Loss: 0.0802, mae: 0.0645, rmse: 0.0893, mape: 0.1310, Time: 9.68 mins
Epoch: 0005, Loss: 0.0792, mae: 0.0642, rmse: 0.0888, mape: 0.1305, Time: 9.71 mins
Epoch: 0006, Loss: 0.0773, mae: 0.0634, rmse: 0.0877, mape: 0.1292, Time: 9.66 mins
Epoch: 0007, Loss: 0.0752, mae: 0.0623, rmse: 0.0866, mape: 0.1275, Time: 9.71 mins
Epoch: 0008, Loss: 0.0733, mae: 0.0613, rmse: 0.0854, mape: 0.1259, Time: 9.69 mins
Epoch: 0009, Loss: 0.0716, mae: 0.0605, rmse: 0.0844, mape: 0.1247, Time: 9.67 mins
Epoch: 0010, Loss: 0.0718, mae: 0.0606, rmse: 0.0845, mape: 0.1245, Time: 9.86 mins
Epoch: 0011, Loss: 0.0698, mae: 0.0596, rmse: 0.0833, mape: 0.1231, Time: 9.83 mins
Epoch: 0012, Loss: 0.0695, mae: 0.0595, rmse: 0.0832, mape: 0.1230, Time: 9.83 mins
Epoch: 0013, Loss: 0.0682, mae: 0.0588, rmse: 0.0824, mape: 0.1221, Time: 9.71 mins
Epoch: 0014, Loss: 0.0685, mae: 0.0590, rmse: 0.0826, mape: 0.1219, Time: 9.71 mins
Epoch: 0015, Loss: 0.0677, mae: 0.0585, rmse: 0.0821, mape: 0.1211, Time: 9.78 mins
Epoch: 0016, Loss: 0.0684, mae: 0.0588, rmse: 0.0825, mape: 0.1214, Time: 9.80 mins
Epoch: 0017, Loss: 0.0674, mae: 0.0583, rmse: 0.0819, mape: 0.1207, Time: 9.79 mins
Epoch: 0018, Loss: 0.0670, mae: 0.0581, rmse: 0.0817, mape: 0.1201, Time: 9.86 mins
Epoch: 0019, Loss: 0.0673, mae: 0.0582, rmse: 0.0819, mape: 0.1203, Time: 9.78 mins
Epoch: 0020, Loss: 0.0670, mae: 0.0580, rmse: 0.0817, mape: 0.1201, Time: 9.84 mins
